n_packs,n_bins,cost,run_time
7,3,250.0,0.029741827666666665
10,10,51.0,0.08228848000000001
11,11,79.0,0.19420463766666665
12,12,54.0,0.08890039266666667
13,13,103.0,0.24868010166666665
14,14,50.0,0.156991295
15,15,106.0,0.8597667843333333
16,16,113.0,0.434518921
17,17,105.0,48.88790709433334
18,18,118.0,300.00974863566665
19,19,106.0,4.515408114
20,20,171.0,3.2591844593333335
21,21,108.0,13.225331748666669
22,22,156.0,300.015485376
23,23,116.0,300.0111882676667
24,24,158.66666666666666,300.01530417533337
25,25,217.0,300.0161613533333
26,26,158.0,300.01922014633334
27,27,158.0,300.015856326
28,28,158.0,300.0164229626667
29,29,178.0,300.016640474
30,30,181.0,300.016747724
31,31,215.0,300.022030273
32,32,171.0,300.0173428793334
33,33,165.0,300.0197630796667
34,34,165.0,300.02084686533334
35,35,220.0,300.02385024433335
36,36,299.0,300.02376423800007
37,37,163.0,300.0210459986667
38,38,252.0,300.02447388800005
39,39,229.0,300.02267093166665
40,40,263.0,300.02727726433335
41,41,225.0,300.02371117166666
42,42,375.0,300.0304993016667
43,43,279.0,300.0248417143334
44,44,286.0,300.0278896573334
45,45,220.0,300.02956470733335
46,46,285.3333333333333,300.0306235286667
47,47,322.0,300.0300689443333
48,48,269.0,300.0297710756667
49,49,273.0,300.0323650486667
50,50,290.0,300.04031305766665
51,51,370.0,300.035201536
52,52,332.6666666666667,300.03852551033333
53,53,373.0,300.037128107
54,54,260.0,300.0370562886667
90,90,567.3333333333334,300.11713977899996
120,120,770.0,300.19248274666666
150,150,911.6666666666666,300.44257813200005
180,180,1490.0,300.542184334
210,210,2481.6666666666665,300.74990042733333
240,240,2308.3333333333335,301.06232610066667
